working_paper_id,XII-1,XII-2,XII-3,XII-4,XII-5,XII-6,XII-7,XII-8
ANT/XII/1/REV1,0.5046514504493287,0.5632862361885915,0.8493059837302732,0.6433128234601573,0.5206523785408077,0.6017995910582645,0.4270947699044307,0.5165268808114143
ANT/XII/3,0.8208619167050619,0.7655656091052985,0.5181558916837757,0.5161718862664602,0.4884462215407759,0.5891320731643104,0.4565061670014406,0.5285110879714937
ANT/XII/4/REV1,0.4046286998088747,0.5170448741168189,0.5083622504003877,0.5021991895240647,0.4403079232382797,0.5005762770090205,0.3873072412395746,0.5558651198797743
ANT/XII/5,0.8529873563740447,0.7241951182141566,0.5333634943358752,0.5231892082856459,0.5027631712781739,0.5870297781022374,0.516950303479211,0.49974347412385073
ANT/XII/6,0.5091984218701273,0.5500480225814123,0.7955645587361884,0.6702835608678616,0.5164262747920253,0.6141024378814651,0.4104066751710297,0.49275701358243584
ANT/XII/7,0.52405928818965,0.5647001162579744,0.802809492920826,0.8360027184517816,0.5325632233806211,0.6182502016196878,0.45722428687290884,0.49119906842623773
ANT/XII/8,0.5810081303890312,0.6462234606217413,0.6637279143643419,0.5915566613707943,0.5062079680786822,0.8266369707470277,0.4406242322619822,0.598159921083776
ANT/XII/9,0.531618583428317,0.5547116634271306,0.8185064973849498,0.6892751720480094,0.5402307782600855,0.6525684345777635,0.4428321706057345,0.5269324775123485
ANT/XII/10,0.5039248705264325,0.5683493065270785,0.6200024403730172,0.550194974035963,0.5273521358568642,0.8175515691651921,0.43018361968729146,0.5549377392497236
ANT/XII/11,0.46086159312532043,0.5005533953096853,0.5465905696976144,0.4617520697123735,0.48354180693056525,0.6221988472378697,0.35480894325879914,0.5489679851908991
ANT/XII/12,0.5078763401408389,0.5214080554198759,0.6041819465872319,0.5136305424811762,0.5276078099551729,0.6114399097338725,0.41307056465927944,0.534228026292415
ANT/XII/13,0.5504669989382073,0.6059669318624421,0.5743634269762702,0.532243445822187,0.5442336568688764,0.619439723712274,0.3731737677162894,0.5507135948235231
ANT/XII/14/REV1,0.5020416106349574,0.5056556246732817,0.6243565578192912,0.5496640831954013,0.691385211666313,0.5360982530076891,0.4621376313625565,0.5000510671182257
ANT/XII/15,0.778055851034695,0.7989046539402929,0.5691163075316648,0.5432640224732905,0.4954405948586311,0.5956302945205233,0.4691721847909371,0.5282528565550982
ANT/XII/16/REV1,0.5156005613052911,0.4526001895095367,0.4372266564092929,0.46015575544468856,0.4918881409640622,0.44226992301369844,0.8822670321656733,0.43995767561910265
ANT/XII/17/REV1,0.418828029294788,0.47332075448425315,0.5466536016611552,0.539491925664956,0.8907505835278888,0.5136042263657892,0.4392044708195173,0.5032806668635341
ANT/XII/18,0.48171128119553086,0.5643569241295481,0.9370153550752769,0.69261197481842,0.5270443020888201,0.610603970481754,0.4036985419855593,0.5504980233810327
ANT/XII/19,0.5612259814263788,0.6420494691589533,0.6522878079742949,0.5447948038070812,0.5330907248470562,0.6837510063000141,0.4059052928305108,0.7321865572007634
ANT/XII/20,0.5416428044591912,0.6170258468672144,0.6214950710579359,0.5312256748498461,0.5368463764501168,0.6652386963182502,0.40950772392729634,0.7156782098805585
ANT/XII/21,0.4861019681948669,0.5300299748744206,0.5952841781847542,0.5174788310981648,0.526514075028594,0.6513071308639318,0.3897492072920378,0.5803746717187469
ANT/XII/22,0.9602775273460484,0.7289087656575581,0.5462691749567794,0.538147107359881,0.5030802292437511,0.5779879580126175,0.5121665443171146,0.5174580190397001
ANT/XII/23,0.6890128025598921,0.9133534494498181,0.5998461276640807,0.5680422556763259,0.5066261802240769,0.6500702536280232,0.42752401906525117,0.5973824888159716
ANT/XII/25,0.4763087760093143,0.52726830380854,0.7317588698720896,0.89929310873629,0.5167576663497154,0.5368069932592651,0.43419823778219224,0.4826117581417199
ANT/XII/26/REV1,0.5446202485374861,0.6212986134847731,0.6681245953349679,0.5894277484454067,0.5095000722399019,0.9397902462891559,0.4760338943404484,0.6022531192148195
ANT/XII/28/REV1,0.5255223071800655,0.6492532630544048,0.6172923871728538,0.5593332879629894,0.564664451723268,0.6313106569942513,0.44347658006389085,0.8969669818469665
