,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8
WP_1,0,0,1,0,0,0,0,0
WP_2,0,0,0,0,0,0,0,0
WP_3,1,1,0,0,0,0,0,0
WP_4,0,0,0,0,0,0,0,0
WP_5,1,1,0,0,0,0,0,0
WP_6,0,0,1,1,0,0,0,0
WP_7,0,0,0,1,0,0,0,0
WP_8,0,0,0,0,0,1,0,0
WP_9,0,0,0,0,0,0,0,0
WP_10,0,0,0,0,0,1,0,0
WP_11,0,0,0,0,0,0,0,0
WP_12,0,0,0,0,0,0,0,0
WP_13,0,0,0,0,0,0,0,0
WP_14,0,0,0,0,0,0,0,0
WP_15,1,1,0,0,0,0,0,0
WP_16,0,0,0,0,0,0,1,0
WP_17,0,0,0,0,1,0,0,0
WP_18,0,0,1,0,0,0,0,0
WP_19,0,0,0,0,0,0,0,0
WP_20,0,0,0,0,0,0,0,0
