,Rec_8,Rec_7,Rec_6,Rec_5,Rec_4,Rec_3,Rec_2,Rec_1
WP_1,0.3980077,0.31107086,0.5972528,0.40633792,0.51831067,0.750518,0.46812752,0.43372098
WP_3,0.27307513,0.22480156,0.4379865,0.29454654,0.34294772,0.44755328,0.44775105,0.5928883
WP_5,0.21551667,0.19238913,0.3544613,0.23486792,0.29983792,0.37494722,0.32201174,0.67996985
WP_6,0.31592524,0.27034825,0.5140272,0.3533239,0.4665673,0.5946058,0.41337392,0.3837627
WP_8,0.4151425,0.30984473,0.7008536,0.41739178,0.5282513,0.6477424,0.48974302,0.46479505
WP_14,0.31177974,0.25033605,0.45184505,0.4891227,0.43651798,0.47774568,0.35758373,0.3502352
WP_16,0.20598222,0.66698194,0.36761665,0.25980964,0.33638495,0.36459726,0.27955684,0.2844119
